Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,,"Exotic,Performance",Large,Sedan,107,101,1391,71000
Tesla,Model S,2015,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,106,95,1391,85000
BMW,i3,2017,electric,170,0,DIRECT_DRIVE,rear wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,106,129,3916,43600
Honda,Fit EV,2013,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,132,2202,36625
Honda,Fit EV,2014,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,132,2202,36625
Volkswagen,e-Golf,2015,electric,115,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,126,873,35445
Volkswagen,e-Golf,2015,electric,115,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,126,873,33450
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,,"Exotic,High-Performance",Large,Sedan,105,92,1391,134500
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,,"Exotic,Performance",Large,Sedan,105,102,1391,79500
Volkswagen,e-Golf,2016,electric,115,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,126,873,35595
Volkswagen,e-Golf,2016,electric,115,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,105,126,873,28995
FIAT,500e,2016,electric,,0,DIRECT_DRIVE,front wheel drive,2,Hatchback,Compact,2dr Hatchback,103,121,819,31800
FIAT,500e,2017,electric,,0,DIRECT_DRIVE,front wheel drive,2,Hatchback,Compact,2dr Hatchback,103,121,819,31800
Tesla,Model S,2015,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000
Mitsubishi,i-MiEV,2017,electric,66,,DIRECT_DRIVE,rear wheel drive,4,Hatchback,Compact,4dr Hatchback,102,121,436,22995
Nissan,Leaf,2014,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,35020
Nissan,Leaf,2014,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,32000
Nissan,Leaf,2014,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,28980
Nissan,Leaf,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,35120
Nissan,Leaf,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,32100
Nissan,Leaf,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,32000
Nissan,Leaf,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,29010
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,,"Exotic,Performance",Large,Sedan,101,98,1391,66000
Nissan,Leaf,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,124,2009,36790
Nissan,Leaf,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,124,2009,34200
Nissan,Leaf,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,101,126,2009,29010
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,100,91,1391,112000
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,rear wheel drive,,"Exotic,Performance",Large,Sedan,100,97,1391,74500
Mitsubishi,i-MiEV,2014,electric,,,DIRECT_DRIVE,rear wheel drive,4,Hatchback,Compact,4dr Hatchback,99,126,436,22995
Ford,Focus,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,99,110,5657,29170
Ford,Focus,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,99,110,5657,29170
Mitsubishi,i-MiEV,2016,electric,66,,DIRECT_DRIVE,rear wheel drive,4,Hatchback,Compact,4dr Hatchback,99,126,436,22995
Ford,Focus,2017,electric,,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,99,110,5657,29120
Tesla,Model S,2015,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,98,89,1391,105000
Tesla,Model S,2014,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,97,94,1391,69900
Tesla,Model S,2015,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,97,94,1391,69900
Tesla,Model S,2014,electric,,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,94,86,1391,104500
Kia,Soul EV,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,35700
Kia,Soul EV,2015,electric,,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,33700
Kia,Soul EV,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,35950
Kia,Soul EV,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,33950
Kia,Soul EV,2016,electric,,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,31950
Tesla,Model S,2014,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,90,88,1391,93400
Tesla,Model S,2014,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,90,88,1391,79900
Tesla,Model S,2015,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,80000
Tesla,Model S,2016,electric,,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,70000
Mercedes-Benz,B-Class Electric Drive,2015,electric,177,0,DIRECT_DRIVE,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,82,85,617,41450
Mercedes-Benz,B-Class Electric Drive,2016,electric,177,0,DIRECT_DRIVE,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,82,85,617,41450
Mercedes-Benz,B-Class Electric Drive,2017,electric,177,0,DIRECT_DRIVE,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,82,85,617,39900
Toyota,RAV4 EV,2012,electric,154,,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800
Toyota,RAV4 EV,2013,electric,,0,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800
Toyota,RAV4 EV,2014,electric,,0,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,58,2031,24700
Toyota,Prius Prime,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,55,2031,33100
Toyota,Prius Prime,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,55,2031,28800
Toyota,Prius Prime,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,55,2031,27100
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,58,2031,25165
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,30000
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,28650
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,28100
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,26250
Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,24200
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,30015
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,29135
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,28115
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,26735
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,24685
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,31180
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,29325
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,26990
Volkswagen,Jetta Hybrid,2013,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,24995
Volkswagen,Jetta Hybrid,2014,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,31895
Volkswagen,Jetta Hybrid,2014,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,30245
Volkswagen,Jetta Hybrid,2014,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,27645
Volkswagen,Jetta Hybrid,2014,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,25560
Volkswagen,Jetta,2015,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,31670
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,30005
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,28435
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,26985
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,25765
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,24200
Toyota,Prius,2015,regular unleaded,134,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,23215
Volkswagen,Jetta,2016,premium unleaded (required),170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,31120
Honda,Civic,2015,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,Sedan,47,44,2202,27435
Honda,Civic,2015,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,Sedan,47,44,2202,26235
Honda,Civic,2015,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,Sedan,47,44,2202,25935
Honda,Civic,2015,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,Sedan,47,44,2202,24735
Honda,Accord Hybrid,2017,regular unleaded,212,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,47,49,2202,35955
Honda,Accord Hybrid,2017,regular unleaded,212,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,47,49,2202,32905
Honda,Accord Hybrid,2017,regular unleaded,212,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,47,49,2202,29605
Honda,Accord Plug-In Hybrid,2014,regular unleaded,196,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,46,47,2202,39780
Toyota,Prius c,2014,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,23360
Toyota,Prius c,2014,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,21765
Toyota,Prius c,2014,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,20030
Toyota,Prius c,2014,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,19080
Volkswagen,Jetta,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,46,31,873,26410
Chevrolet,Cruze,2015,diesel,148,4,AUTOMATIC,front wheel drive,4,Diesel,Midsize,Sedan,46,27,1385,25660
Toyota,Prius c,2015,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,24475
Volkswagen,Jetta,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,46,31,873,24075
Toyota,Prius c,2015,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,21765
Volkswagen,Jetta,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,46,31,873,21640
Toyota,Prius c,2015,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,20340
Toyota,Prius c,2015,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,19540
Chevrolet,Malibu,2016,regular unleaded,182,4,DIRECT_DRIVE,front wheel drive,4,Hybrid,Midsize,Sedan,46,47,1385,27770
Toyota,Prius c,2016,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,24495
Toyota,Prius c,2016,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,21785
Toyota,Prius c,2016,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,21355
Toyota,Prius c,2016,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,20360
Toyota,Prius c,2016,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,19560
Kia,Optima Hybrid,2017,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,46,39,1720,30990
Kia,Optima Hybrid,2017,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,46,39,1720,25995
Honda,Accord Hybrid,2014,regular unleaded,195,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,34905
Honda,Accord Hybrid,2014,regular unleaded,195,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,31905
Honda,Accord Hybrid,2014,regular unleaded,195,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,29155
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
Honda,Accord Hybrid,2015,regular unleaded,196,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,35055
Honda,Accord Hybrid,2015,regular unleaded,196,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,32055
Honda,Accord Hybrid,2015,regular unleaded,196,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,50,2202,29305
Volkswagen,Golf,2015,diesel,150,4,MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,45,30,873,28395
Volkswagen,Jetta,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,45,31,873,27510
Volkswagen,Golf,2015,diesel,150,4,MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,45,30,873,25895
Volkswagen,Jetta,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,45,31,873,25175
Volkswagen,Jetta,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,45,31,873,22740
Volkswagen,Golf,2015,diesel,150,4,MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,45,30,873,22345
Hyundai,Sonata Hybrid,2017,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,45,39,1439,26000
Honda,Civic CRX,1990,regular unleaded,62,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,44,36,2202,2000
Honda,Civic CRX,1991,regular unleaded,62,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,44,36,2202,2000
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23690
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23690
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,21965
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,21965
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,20275
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,20275
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,18500
Honda,Insight,2012,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,18500
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23790
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23790
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,22065
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,22065
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,20375
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,20375
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,18600
Honda,Insight,2013,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,18600
Honda,Insight,2014,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23915
Honda,Insight,2014,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,22190
Honda,Insight,2014,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,20500
Honda,Insight,2014,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,18725
Mitsubishi,Mirage,2014,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,15195
Mitsubishi,Mirage,2014,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,13995
Volkswagen,Passat,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,44,30,873,27095
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,15395
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,14945
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,14095
Hyundai,Sonata Hybrid,2016,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,44,40,1439,26000
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
Audi,A3,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,41050
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
Audi,A3,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,35150
Audi,A3,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,32600
Volkswagen,Golf SportWagen,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Compact,Wagon,43,31,873,30345
Volkswagen,Golf,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,43,31,873,29495
Volkswagen,Golf SportWagen,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Compact,Wagon,43,31,873,27995
Volkswagen,Golf,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,43,31,873,26995
Volkswagen,Golf SportWagen,2015,diesel,150,4,MANUAL,front wheel drive,4,Diesel,Compact,Wagon,43,31,873,24595
Volkswagen,Golf,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,43,31,873,23445
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,42050
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,36700
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,35900
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105,33200
Hyundai,Sonata Hybrid,2016,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,43,39,1439,30100
Hyundai,Sonata Hybrid,2016,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,43,39,1439,30100
Hyundai,Sonata Hybrid,2017,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,43,38,1439,30100
Hyundai,Sonata Hybrid,2017,regular unleaded,193,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,43,38,1439,30100
Chevrolet,Malibu,2017,regular unleaded,182,4,DIRECT_DRIVE,front wheel drive,4,Hybrid,Midsize,Sedan,43,49,1385,27875
